id,numcrawled,avgCrawlingTime,avgPageSize
21863,0,0,0
21473,19,2.1917,24.3915
21197,32,2.19912,30.4016
21687,20,1.23599,17.504
21760,14,1.51131,129.032
21974,8,0.569485,4.26638
21522,70,0.662803,27.3528
20955,19,5.98363,64.6573
22080,6,0.56443,17.3552
22141,0,0,0
21892,29,0.782705,101.929
22034,19,0.61685,15.5994
21963,38,0.558987,15.6602
21528,24,2.60123,70.8393
17499,77,5.10396,109.521
22198,6,0.771345,17.1658
22186,7,0.963728,12.799
22253,2,0.61995,22.0425
21476,38,2.06384,297.416
22377,1,1.4607,102.783
22349,14,0.741272,44.4164
21564,55,1.4869,52.6019
22415,2,4.87424,13.14
22581,0,0,0
22582,0,0,0
21523,37,2.42568,247.195
22596,0,0,0
21731,72,0.990496,28.2038
21433,43,2.33843,213.214
22620,0,0,0
22631,0,0,0
22181,46,0.720299,127.893
22194,27,1.26245,59.812
22641,1,1.4675,51.662
22695,6,0.437544,10.8228
21869,30,2.33441,41.0312
22259,62,0.583449,26.9035
22675,11,0.721288,32.0115
22644,8,1.40382,10.2731
22653,26,0.422479,51.0719
22660,21,0.601311,11.9256
22820,14,0.372178,39.2527
22753,20,0.456099,9.19805
22913,1,2.92567,3.242
22919,3,1.05204,13.8337
22318,39,1.09358,93.9782
22650,25,0.787995,51.4077
23001,2,0.417648,17.202
23022,0,0,0
23008,1,0.835084,158.218
22999,4,0.410217,28.863
22993,1,3.52112,13.772
23025,1,1.80072,28.303
23056,1,0.374505,44.499
22909,15,0.675672,194.425
22709,71,0.360034,25.5277
23097,11,0.67176,20.6835
23094,27,0.366105,51.817
23131,13,0.830965,79.304
23289,0,0,0
18320,270,1.51068,172.643
23182,9,1.07404,52.9872
22172,78,1.01593,87.6139
23312,0,0,0
23033,9,2.3873,26.1234
23327,9,0.384374,43.7893
17960,90,4.89968,48.5307
23347,26,0.259724,12.9376
23130,43,0.561714,76.1822
23466,0,0,0
23154,19,1.29868,44.9233
23075,18,1.78786,224.852
23104,11,2.51683,83.6907
23490,5,0.779533,87.7994
23554,2,0.153715,138.137
23482,12,0.473718,11.6538
22061,37,3.01027,69.1842
23590,1,1.34215,24.484
21625,89,1.72183,121.852
23623,1,0.352333,84.718
23351,25,0.904574,47.1886
23330,30,0.821947,96.086
23686,0,0,0
23662,10,0.447003,20.3891
22355,71,1.36394,63.9052
23522,24,0.689749,36.0348
23665,8,0.598842,23.8405
23579,19,0.725352,22.5248
23759,0,0,0
22812,56,1.24355,73.0841
18464,157,2.77068,302.123
23592,7,2.43065,71.0423
23779,4,0.380921,48.12
23681,20,0.485423,70.4514
23639,8,1.72771,143.071
23766,4,1.18006,268.317
23817,0,0,0
23831,0,0,0
23820,4,0.318858,137.469
23839,3,0.627599,2.062
23894,0,0,0
23753,6,2.27893,45.0955
23842,30,0.248946,30.5798
23999,4,0.142767,21.2375
23328,36,1.47212,19.6263
24058,0,0,0
24064,0,0,0
23988,12,0.566808,53.8842
23835,10,1.82291,113.112
23942,15,0.810715,41.7293
23922,8,1.79431,37.7654
