id,time,size,level
89,0.502801,19.527000,1
90,2.977368,155.617000,0
91,3.001624,199.065000,0
92,0.137920,123.677000,1
93,0.824289,185.574000,0
94,0.174172,232.764000,1
95,0.464723,122.590000,1
96,0.447433,122.590000,1
97,0.405030,122.590000,1
98,0.446269,122.590000,1
99,0.141785,125.368000,1
100,1.762873,19.593000,1
101,0.218097,30.006000,1
102,0.273687,12.415000,1
103,0.190804,385.361000,1
104,0.191771,631.299000,1
105,0.130373,121.729000,1
106,3.301559,55.395000,0
107,0.350254,19.451000,1
108,0.716899,40.225000,0
109,0.158847,20.112000,1
110,0.220106,629.363000,1
111,0.736980,122.590000,1
112,0.131576,84.148000,1
113,0.176337,350.830000,1
114,0.233254,12.458000,1
115,0.225141,700.888000,1
116,0.171055,292.226000,1
117,0.137541,81.180000,1
118,0.453020,122.590000,1
119,0.453274,122.590000,1
120,2.070386,86.300000,1
121,0.356543,19.060000,1
122,0.161885,231.875000,1
123,0.513252,30.006000,1
124,0.131704,79.488000,1
125,0.238227,13.226000,1
126,0.864126,116.991000,1
127,0.189737,502.368000,1
128,1.048452,13.225000,1
129,0.255007,692.177000,1
130,0.133808,81.485000,1
131,0.416362,385.029000,1
132,0.225558,577.126000,1
133,0.240100,12.661000,1
134,0.187954,533.510000,1
135,0.138395,87.639000,1
136,0.170548,507.844000,1
137,0.357934,19.578000,1
138,0.274017,14.659000,1
139,0.522849,340.993000,1
140,0.522619,45.185000,1
141,0.206010,586.706000,1
142,0.746902,122.590000,1
143,0.877434,546.605000,0
144,0.188161,504.146000,1
145,0.148937,210.202000,1
146,0.433045,107.448000,1
147,0.238005,12.657000,1
149,0.234994,9.912000,1
148,0.221997,563.162000,1
150,0.463781,122.590000,1
151,0.348165,21.332000,1
152,0.203373,507.286000,1
153,0.247596,566.554000,1
154,0.222134,512.076000,1
155,0.240455,13.739000,1
156,0.210328,584.957000,1
157,0.232119,11.205000,1
158,0.562972,197.746000,1
159,0.190050,500.299000,1
160,0.213859,583.425000,1
161,0.214127,505.999000,1
162,0.435959,103.293000,1
163,0.511814,45.185000,1
164,0.241808,13.311000,1
165,0.144872,70.515000,1
166,1.112860,40.185000,0
167,0.343486,22.128000,1
168,0.207525,455.119000,1
170,0.169148,110.439000,1
169,0.192701,511.538000,1
171,0.274176,32.013000,1
172,0.463997,122.590000,1
173,0.138196,71.728000,1
174,0.524439,39.385000,0
175,0.227208,46.041000,1
176,1.806137,160.189000,1
177,0.237422,12.382000,1
178,0.773037,122.590000,1
179,0.193675,471.500000,1
180,0.132458,70.423000,1
181,1.860162,196.352000,1
182,0.435798,122.590000,1
183,1.359285,0.001000,1
184,0.346545,23.529000,1
185,0.213349,46.041000,1
186,0.267199,14.114000,1
187,0.132868,70.875000,1
188,0.191974,518.136000,1
189,0.528660,116.389000,1
190,0.228260,12.378000,1
191,0.442215,122.590000,1
192,0.444257,122.590000,1
193,0.140974,69.982000,1
194,0.219919,547.483000,1
195,0.218810,46.038000,1
196,0.265755,30.006000,1
197,0.462773,46.231000,1
198,0.284406,14.114000,1
199,0.132539,73.491000,1
200,0.561123,579.939000,1
201,0.240425,13.018000,1
202,0.578148,34.450000,1
203,0.352874,22.307000,1
204,0.149461,131.050000,1
205,0.244063,507.778000,1
206,0.132635,68.956000,1
207,0.176338,571.181000,1
208,0.241988,13.310000,1
209,0.266180,14.114000,1
210,0.495252,146.710000,1
211,0.516142,131.050000,1
212,0.141754,71.035000,1
213,0.734661,122.590000,1
215,0.453116,122.590000,1
214,0.205396,512.933000,1
216,0.169138,136.385000,1
217,0.421446,41.380000,1
218,0.134924,72.789000,1
219,0.194954,404.538000,1
220,0.252696,13.331000,1
221,0.258097,14.114000,1
222,0.236510,517.745000,1
223,0.139715,69.669000,1
224,0.502142,136.385000,1
225,0.532979,31.682000,1
226,0.534964,40.385000,1
227,0.164972,10.655000,1
228,0.130101,68.702000,1
229,0.189578,510.933000,1
230,0.129259,0.608000,1
231,0.172156,508.110000,1
232,0.223229,606.718000,1
233,0.291973,16.872000,1
234,0.412967,41.274000,1
235,0.547048,591.155000,1
236,0.132292,12.057000,1
237,0.172340,404.099000,1
238,0.153532,167.508000,1
239,1.288148,63.338000,1
240,0.530330,529.540000,1
241,0.243201,13.174000,1
242,0.678780,91.523000,1
243,0.136913,26.329000,1
244,0.235991,583.572000,1
245,0.149819,126.082000,1
246,0.217946,582.149000,1
247,0.244203,10.528000,1
248,0.781900,122.590000,1
249,0.205755,512.096000,1
250,0.166569,164.504000,1
251,0.134127,25.176000,1
252,0.236449,577.721000,1
253,0.586887,42.277000,1
254,0.271073,33.358000,1
255,0.179138,511.384000,1
256,0.180757,13.507000,1
257,0.223267,583.128000,1
258,0.203157,577.113000,1
259,0.135648,15.111000,1
260,0.186853,557.197000,1
261,0.142196,263.521000,1
262,0.474674,97.635000,1
263,1.353947,0.001000,1
264,0.127624,0.689000,1
265,0.131124,11.579000,1
266,0.161209,13.523000,1
267,0.214112,552.243000,1
268,0.151609,509.157000,1
269,0.218548,572.833000,1
270,0.322227,22.618000,1
271,0.209222,569.300000,1
273,0.132592,16.474000,1
272,0.136001,175.924000,1
274,0.430555,169.915000,1
275,0.186218,13.583000,1
276,0.194163,508.501000,1
278,0.132067,11.876000,1
277,0.504589,32.361000,1
279,1.043332,71.626000,1
280,0.221946,571.757000,1
281,0.189754,13.962000,1
