id,numcrawled,avgCrawlingTime,avgPageSize
12493,0,0,0
12312,19,0.583586,15.8469
12536,0,0,0
12095,46,0.67542,27.4525
12551,2,3.10506,24.536
12596,0,0,0
12633,0,0,0
12429,6,1.42842,35.8162
9286,177,1.20466,90.3626
12680,0,0,0
12666,1,1.54999,105.17
9145,540,0.423799,107.463
12698,5,1.25738,324.6
11923,49,1.51479,21.8152
12761,6,1.25791,26.7865
9721,95,2.08342,130.125
12456,10,3.88242,103.811
12724,7,1.22906,104.441
12347,40,1.23452,24.8918
12978,0,0,0
12928,5,1.13396,55.945
12888,11,1.06811,55.2094
12924,21,0.466475,15.628
12847,10,1.80188,56.903
13078,0,0,0
13040,4,1.05601,32.1788
12874,10,2.17949,100.457
12966,11,1.37011,26.1689
11515,98,1.27165,20.4439
13144,0,0,0
13120,5,1.18001,28.8228
13207,1,0.660846,121.729
13123,10,1.53701,39.5434
13295,0,0,0
13195,16,0.640951,194.037
13141,11,1.49613,399.452
13134,5,4.76355,37.7134
13338,5,0.759211,48.5834
13324,17,0.371869,52.8548
13105,14,2.02729,47.8396
13395,0,0,0
13410,0,0,0
12995,19,2.15987,53.59
13434,0,0,0
13322,5,2.22957,56.3696
13447,0,0,0
13460,0,0,0
13456,0,0,0
13465,2,0.475164,82.757
13463,2,0.806151,6.301
13497,0,0,0
13524,0,0,0
12997,17,3.01712,29.989
10677,112,1.83641,75.6826
11445,112,1.49306,75.6816
11008,130,1.46432,68.9638
13418,34,0.322368,33.9027
13595,0,0,0
13608,0,0,0
9491,139,2.0111,155.636
13650,11,0.24095,25.2038
13636,16,0.211347,24.5927
13750,2,0.264382,105.002
13641,21,0.225381,25.6912
13657,5,1.1923,417.798
13638,15,0.658738,108.316
13540,29,0.568037,20.3777
13876,0,0,0
13916,8,0.212027,50.3909
13386,19,1.82355,81.9733
13810,12,0.924042,47.5983
13545,76,0.384027,78.678
13867,35,0.359603,22.2288
13535,38,0.881407,62.6845
12282,125,1.15182,43.6011
14123,16,0.388306,20.5968
13164,56,1.28699,293.582
14069,13,0.895212,30.4035
