id,time,size,level
351,0.556654,223.683000,1
352,0.573363,574.802000,1
353,0.355627,22.296000,1
354,0.352513,71.741000,1
355,0.237886,20.643000,1
356,5.853709,12.498000,1
357,0.358768,567.165000,1
358,0.354058,22.296000,1
359,0.382450,99.150000,1
360,0.393058,20.524000,1
361,0.763669,13.962000,1
362,3.239954,529.540000,1
363,0.804762,582.448000,1
364,0.299365,22.296000,1
365,0.272460,20.090000,1
366,0.248738,22.296000,1
367,1.127913,282.309000,1
368,0.278706,24.661000,1
369,0.294627,22.296000,1
370,0.587814,631.251000,1
371,0.807485,577.721000,1
372,0.271062,22.296000,1
373,2.816204,176.179000,1
374,1.193882,14.114000,1
375,0.410943,22.296000,1
376,3.865532,122.590000,1
378,2.473847,502.143000,1
377,0.743536,583.425000,1
379,1.154377,161.130000,1
380,0.358697,22.296000,1
381,2.114707,106.384000,1
382,0.335851,22.296000,1
383,0.638500,583.128000,1
384,1.185609,577.126000,1
385,4.486324,631.251000,0
386,0.494330,172.451000,1
387,0.767750,508.474000,1
388,0.235605,22.296000,1
389,0.449397,263.521000,1
390,0.526863,577.113000,1
391,0.353876,22.296000,1
392,1.369749,14.114000,1
393,0.228111,0.689000,1
394,0.256153,22.296000,1
395,0.761248,495.679000,1
396,0.249492,22.296000,1
397,0.520459,9.703000,1
398,0.756704,572.863000,1
399,1.182815,700.888000,1
400,0.639887,584.957000,1
401,2.867276,144.252000,0
402,0.737902,500.217000,1
403,0.322994,175.924000,1
404,4.192435,2.909000,1
405,0.920058,14.246000,1
406,0.783668,569.300000,1
407,0.730645,231.875000,1
408,0.717178,507.318000,1
409,2.533220,629.033000,1
410,9.444160,0.001000,1
411,3.293468,122.590000,1
412,1.160371,59.979000,1
413,0.766036,586.706000,1
414,0.657486,497.008000,1
415,1.117296,14.114000,1
416,0.850813,571.757000,1
417,0.377033,165.968000,1
418,0.644021,566.596000,1
419,1.972385,15.986000,1
420,1.252610,77.410000,1
421,6.533795,56.785000,1
422,3.952782,564.880000,0
423,0.980334,285.808000,1
424,0.422554,87.755000,1
425,2.689682,642.151000,1
426,7.486853,171.362000,0
427,0.465025,75.390000,1
428,1.748758,14.114000,1
429,2.946616,586.686000,1
430,0.758355,267.893000,1
431,0.357953,82.358000,1
432,2.031460,192.203000,1
433,0.931865,239.983000,1
434,0.335750,91.775000,1
435,1.196203,576.160000,1
436,1.732135,286.857000,1
437,0.862323,564.880000,1
438,1.080702,566.719000,1
439,0.823673,222.721000,1
440,1.572021,14.114000,1
441,1.228089,607.188000,1
442,1.077417,577.113000,1
443,0.685123,581.729000,1
444,3.211035,568.951000,1
445,4.306578,122.590000,1
446,1.313554,142.600000,1
447,0.892587,220.522000,1
448,1.011369,287.154000,1
449,6.498733,11.818000,0
450,0.715218,221.362000,1
451,2.455760,82.176000,1
452,1.647093,14.114000,1
453,0.414690,220.736000,1
454,0.236823,84.619000,1
455,1.300140,85.678000,1
456,0.441039,224.187000,1
457,0.490580,259.515000,1
458,1.314859,14.114000,1
459,2.695749,586.202000,1
460,20.779725,0.000000,1
461,2.815307,605.913000,1
462,2.811444,575.753000,1
463,1.291538,131.837000,1
464,0.654008,223.305000,1
465,3.750921,106.384000,1
466,10.733949,180.327000,1
467,1.786309,69.144000,1
468,2.695126,608.045000,1
469,0.787302,189.141000,1
470,1.093069,210.265000,1
471,14.453749,81.371000,1
472,1.348049,559.817000,1
473,1.201675,72.961000,1
474,0.704708,140.952000,1
475,6.242702,217.673000,1
476,1.815230,12.683000,1
477,0.742058,248.533000,1
478,7.127932,63.517000,1
479,0.936980,244.115000,1
480,1.817710,69.216000,1
481,1.087902,81.183000,1
482,0.637703,221.079000,1
483,4.995636,122.590000,1
484,1.226379,568.951000,1
485,2.596627,46.041000,1
486,1.196922,759.402000,1
487,0.307810,69.133000,1
488,0.434599,220.247000,1
489,0.356483,69.124000,1
490,2.657399,70.858000,1
491,1.461673,12.416000,1
492,0.499547,71.138000,1
493,1.212556,77.348000,1
494,1.376271,48.012000,1
495,17.191482,76.591000,1
496,2.349681,198.647000,1
497,3.942756,608.638000,1
498,1.146368,206.752000,1
499,3.846819,616.984000,1
500,11.231041,0.001000,1
501,2.150062,105.568000,1
502,0.292958,204.551000,1
503,0.523111,560.720000,1
504,3.586086,52.505000,1
505,2.670861,173.520000,1
506,2.614370,556.474000,1
507,0.553624,565.686000,1
508,0.128468,0.692000,1
509,1.174816,230.138000,1
510,1.048562,224.849000,1
511,1.389119,569.081000,1
512,2.484202,110.158000,1
513,1.548935,61.516000,1
514,0.290115,572.342000,1
515,1.327131,37.584000,0
516,0.421568,564.619000,1
517,2.616479,14.555000,1
518,3.525878,122.590000,1
519,0.717014,545.971000,1
520,0.712395,244.910000,1
521,0.323478,37.584000,1
522,1.380107,179.862000,1
523,1.077133,570.220000,1
524,0.394189,37.204000,1
525,2.756338,246.261000,1
526,0.999838,14.659000,1
527,0.321416,35.246000,1
528,1.335863,180.770000,1
529,1.461718,60.916000,1
530,3.437488,50.580000,1
531,0.984924,224.663000,1
532,1.472172,267.893000,1
533,0.311148,34.254000,1
534,1.032229,179.059000,1
535,2.529203,265.205000,0
536,0.316249,29.593000,1
537,2.075878,619.737000,1
538,0.387618,27.515000,1
539,1.235947,184.899000,1
540,2.250416,596.614000,1
541,1.247520,180.736000,1
542,1.056310,227.866000,1
543,0.647038,558.105000,1
544,2.173078,523.802000,1
545,1.149165,69.190000,1
546,1.522747,11.265000,1
547,0.177895,7.958000,1
548,1.147203,178.405000,1
549,0.331896,148.980000,1
550,1.520268,60.468000,1
551,0.519705,547.166000,1
552,0.357143,142.191000,1
553,2.326037,558.882000,1
554,0.558694,11.954000,1
555,0.317663,137.495000,1
556,0.287256,38.797000,1
557,1.169651,184.283000,1
558,7.492480,65.923000,1
559,0.238023,40.996000,1
560,1.229249,97.809000,1
561,1.404005,180.357000,1
562,1.129290,178.352000,1
563,2.263236,153.739000,1
564,1.354457,48.994000,1
565,2.828095,556.431000,1
566,1.117042,13.254000,1
567,1.938039,122.590000,1
568,0.979307,182.834000,1
569,4.181457,122.590000,1
570,1.930657,209.274000,1
571,1.271262,86.525000,1
572,35.582890,178.441000,1
573,1.023864,161.503000,1
574,1.241353,180.015000,1
575,2.317724,167.010000,1
576,3.009305,177.222000,0
577,1.385269,178.135000,1
578,0.164012,169.176000,1
579,1.021360,548.301000,1
580,0.158260,177.212000,1
581,1.178358,14.114000,1
582,0.150043,175.660000,1
583,1.118574,184.668000,1
584,2.579078,38.797000,1
585,1.450140,51.983000,1
586,0.138912,176.655000,1
587,0.730585,124.800000,1
588,0.153810,176.360000,1
589,0.951849,8.892000,1
590,0.147615,175.767000,1
591,0.140637,177.177000,1
592,0.168132,175.532000,1
593,1.387126,93.017000,1
594,0.138520,174.533000,1
595,2.795739,299.110000,1
596,0.973145,185.151000,1
597,1.473676,180.181000,1
598,1.324925,178.824000,1
599,0.139324,174.480000,1
600,0.145711,175.815000,1
601,27.294712,234.149000,1
602,1.397845,14.114000,1
603,0.157563,175.135000,1
604,1.341350,47.656000,1
605,1.910999,122.590000,1
606,0.145304,176.420000,1
607,0.262468,178.441000,1
608,2.714038,122.590000,1
609,0.137853,175.949000,1
610,1.986468,122.590000,1
611,8.776491,0.001000,1
612,1.478062,191.281000,1
613,0.138979,170.993000,1
614,0.260244,174.063000,1
615,0.878276,183.223000,1
616,0.149102,176.446000,1
617,1.907509,122.590000,1
618,0.247311,177.237000,1
619,1.099648,122.590000,1
620,1.081318,178.086000,1
621,0.154528,175.234000,1
622,1.361617,95.136000,1
623,0.150196,176.691000,1
624,0.209402,324.449000,1
625,1.247779,178.697000,1
626,3.377865,122.590000,1
627,1.001314,14.114000,1
628,0.140363,175.050000,1
629,0.346324,175.803000,1
630,0.196486,341.091000,1
631,2.183778,122.590000,1
632,0.226252,323.134000,1
633,0.904148,184.332000,1
634,1.350354,81.615000,1
635,1.304897,122.590000,1
636,0.204837,344.667000,1
637,1.181217,128.544000,1
638,0.909145,91.266000,1
